happyword	angryword	sadword	disgustword	scaredword	surpriseword
享受	結仇	一蹶不振	幹	一陣緊張	幹
真的	脾氣	力盡	刁難	刀刃	一下子爆發
七弦琴	脾氣暴躁	士氣低落	下流	匕首	一下子爆發的一連串
人性	脾氣壞	口渴	下流的	下地獄	一巴掌
人道主義	虛榮	口渴的	下垂	下獄	一再
十四行詩	虛榮心	工作過度	下垂度	亡命	一再叮囑
上升	虛榮的	工作過度的	下降	亡命者	一拳
上帝	貿然	大嚷	下陷	大失敗	一般殺人罪
大張旗鼓	開小差	小心	下等	大批出沒	一陣狂風
大教堂	開玩笑	小卒	下等的	大災難	一掌
大赦	黑暗	小題大作	下跌	大雨	一團糟
女兒	亂丟垃圾	不上算的	下層社會	大洪水	一摑
小丑	亂哄哄	不大可能之事	下暴雨	大恐慌	人為
小牛	幹傻事	已過盛年	上當	大浪	人為的
小曲	惹人惱怒	已過盛年的	上鉤	大破壞	大吃一驚
小憩	惹人惱怒的事	不大	上癮	大屠殺	大吃一驚的
小貓	惹怒	不大可能	上癮者	大量殺戮	不小心
工資	惹惱	不及格	久坐	大量噴出	不小心的
已訂婚的	愁思	不可愛	久坐的	大變革	不可預測
已確立的	愁容	不可愛的	乞丐	大變動	不可預測的
不朽	慌忙	不可避免	乞求	大驚小怪	不平靜
不受約束	慌張	不可避免的	乞討	子彈	不平靜的
不敗	慍怒	不同意	乞得	不引人注意	不正常
仁	慍怒的	不名譽	口吃	不引人注意的	不正常的興奮
內容	損污	不名譽的	土匪	不可抵抗	不合適
分享	損害	不告而別	女巫	不可抵抗的	不合適地代表
分數	損耗	不住	小氣	不可信	不合適的
友善	損傷	不快樂	小氣的	不可信的	不合邏輯
友善的	損傷痕	不快樂的	小偷	不可信的事物	不合邏輯的
友誼	損毀	不妊	小搗蛋	不可信賴	不存在
友誼賽	損壞	不妊的	小衝突	不可思議	不見
天	搶劫	不相信	不切實際	不可思議的	不易彎曲
天上	搶走	不便	干涉	不可能之事	不易彎曲的
天上的	搶奪	不便之處	干擾	不可能的	不肯越過障礙物
天使	煩人	不便的	干擾者	不可	不屑
